node,year_construction,capacity_existing
DE,2015,0.2788180062711332
DE,2017,0.04448982048602246
DE,2018,0.06641359018164295
DE,2019,0.2773412521368561
DE,2020,0.13148527997315052
DK,1999,0.06832901939364058
DK,2000,0.1067164196109454
DK,2001,0.03528444914432489
DK,2002,0.2092396831565764
DK,2003,0.294733984586197
DK,2004,0.26438004685832306
DK,2005,0.2188066308728981
DK,2006,0.025383813620233123
DK,2007,0.21504591559692884
DK,2008,0.14222406191234624
DK,2009,0.31661160992078463
DK,2010,0.626189008922311
DK,2011,0.43246963459455784
DK,2012,0.5035073989848247
DK,2013,0.21409483270008017
DK,2014,0.7334271983184049
DK,2015,0.025383813620233123
DK,2016,0.2121500616464017
DK,2017,1.259177718993461
DK,2018,0.19527884167229762
DK,2019,0.5382185187063873
DK,2020,0.7117602672646055
EE,1999,0.018311435628664573
EE,2001,0.055785205994634136
EE,2004,0.014122580963429662
EE,2005,0.050321664336312556
EE,2008,0.008382521061838427
EE,2009,0.1889370060362143
EE,2010,0.05867812536596668
EE,2011,0.14645613800958596
EE,2013,0.10253288753119469
EE,2015,0.16868037064410646
EE,2016,0.20731041715542067
EE,2018,0.054938600728767405
EE,2019,0.042332410205098966
EE,2020,0.19122229132028426
FI,1999,0.22969446728161655
FI,2000,0.2710156039659155
FI,2002,0.2508731923494635
FI,2003,0.12891204098568587
FI,2004,0.08881993396537764
FI,2005,0.07363440120831209
FI,2006,0.12265478175782751
FI,2008,0.2913967595178829
FI,2009,0.01149017082526583
FI,2010,0.25661332566209855
FI,2011,0.1313193766107184
FI,2012,0.2861155584305447
FI,2013,0.3570089570346442
FI,2014,0.08582664007406843
FI,2016,0.054018916117989355
FI,2019,0.19225289513613464
FI,2020,0.2821293537025846
FI,2021,0.4108338320562915
FR,2006,0.007274753750475767
FR,2007,0.3098807629546531
FR,2008,0.05170274767639477
FR,2009,0.10873741086031435
FR,2010,0.1507760316725505
FR,2011,0.25524455908567323
FR,2012,0.07918907613603676
FR,2013,0.353800510089473
FR,2014,0.45087333108839744
FR,2015,0.19992619702360304
FR,2016,0.3026256854494003
FR,2017,0.15286613955702721
FR,2018,0.19039707397795347
FR,2019,0.10547726853161254
HR,2010,0.004582537901410845
HR,2011,0.001345926223780344
HR,2012,0.010743742761436342
HR,2013,0.012768588776448923
HR,2014,0.0032724015654271715
HR,2015,0.030357111286763154
HR,2016,0.02678604853067111
HR,2017,0.032164237573817075
HR,2018,0.05800073166324339
HR,2019,0.04393824719400788
HR,2020,0.015371144246646568
HU,2010,0.03545762879178901
HU,2011,0.02502418800655759
HU,2013,0.08721664262284126
HU,2015,0.05375560541684468
HU,2016,0.05388491837101844
IT,2011,0.008528260710517599
IT,2013,0.3450314690762696
IT,2014,0.276415790466768
IT,2016,0.03502061940494583
IT,2018,0.16793671642907482
IT,2020,0.014580699937070452
LT,2001,0.014411418715037053
LT,2002,0.058756898914240435
LT,2003,0.041282839632933055
LT,2004,0.09380689389393837
LT,2006,0.03306899254040657
LT,2007,0.03932309209644885
LT,2008,0.10838881428265623
LT,2009,0.061746539474772155
LT,2011,0.04106673501896363
LT,2012,0.18026780212015547
LT,2013,0.13381403878111076
LT,2014,0.37567532105627444
LT,2015,0.3991093490709434
LT,2016,0.07388799383787448
LT,2017,0.18704041950065742
LT,2019,0.13295912473316807
LU,2003,0.0002575259860657101
LU,2004,0.00011632862350155091
LU,2005,0.001669934045569683
LU,2006,0.00020625090989268187
LU,2007,0.000988192896492668
LU,2008,0.000937774930511298
LU,2009,0.0013420097381691603
LU,2010,0.0019644546707958633
LU,2011,0.004338370605124294
LU,2013,0.0028146619772180543
LU,2014,0.029865282988666232
LU,2015,0.013483548297130596
LU,2017,0.029467441425837855
LU,2018,0.05374653463704912
LU,2019,0.07647886621231986
LU,2020,0.10848809362564807
LV,2001,0.006411965295802662
LV,2002,0.014992729671779934
LV,2003,0.026066528364592487
LV,2006,0.013587017203763721
LV,2008,0.021061789561348476
LV,2010,0.028462177508987396
LV,2012,0.06285797672921356
LV,2013,0.16817931371951697
LV,2014,0.10510950244147578
LV,2015,0.10207523938737342
LV,2016,0.11665265560130521
LV,2017,0.05813161574399017
LV,2018,0.02009161133539776
LV,2019,0.145990323912133
LV,2020,0.12905962316483133
LV,2021,0.02251622795423774
NL,2007,0.006965362712801144
NL,2009,0.005280053596867267
NL,2010,0.0017465691508880173
NL,2011,0.0015550808019168458
NL,2015,0.01691807331340492
NL,2016,0.008961309564830232
NL,2017,0.04840524897844306
NL,2018,0.0604184931474947
NL,2019,0.09261241475179116
NL,2020,0.1056914868268396
NO,2008,0.010749759628426434
NO,2009,0.012719492498082241
NO,2010,0.058737996710781865
NO,2011,0.024032794647448924
NO,2012,0.04583763581161121
NO,2013,0.08378954014526901
NO,2015,0.05318516200102086
NO,2016,0.033478067487172414
NO,2017,0.029337793379157262
NO,2018,0.05175744820044542
NO,2019,0.04100121181717031
PL,2009,0.22089663802145557
PL,2011,0.25201584081614903
PL,2012,0.34175715385164096
PL,2016,0.015938851820794242
PL,2018,0.009863740409662203
PL,2019,0.23398644185566853
PL,2020,0.1889654727456509
RO,2009,0.00021907032629439258
RO,2010,0.014215599148082
RO,2011,0.017259783591662414
RO,2014,0.024278686064958123
RO,2015,0.005543132345472004
RO,2016,0.003261449961714444
RO,2019,0.015217386991773718
RO,2020,0.019506064261480494
SE,1999,0.9430926048293548
SE,2000,0.36918445468021643
SE,2001,0.4579244431627206
SE,2003,0.28710396915640557
SE,2004,0.15248153052217756
SE,2005,0.689706838940289
SE,2006,0.2077963006492016
SE,2007,0.16678375225437528
SE,2008,0.3210383125819541
SE,2010,0.512809508197761
SE,2012,0.8123587820518944
SE,2013,0.12539107432578836
SE,2014,0.022220783102740272
