year,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
2022,8165.348541946599,8210.143944950287,8508.000642926538,8332.32180361907,8377.082454600275,8249.228350048576,8340.42224662267,7920.5758030745,8103.020896031397,8148.551406742466,8185.11126162207,8228.341500476092,8255.242612934177,8473.328417705929,8081.47576173645,8249.693687192132,8456.937178205235,8079.626961255911,8307.940843782131,8055.350852577817,8497.87981553807,8260.657122920591,8097.958697000731,8243.183999641924,8344.176199450418,8311.928142148165,8359.437375818921,8278.06089215106
2023,8106.973852682285,8151.449009989493,8447.17630808767,8272.753409981267,8317.19406371081,8190.253997743749,8280.795942310166,7863.951012482439,8045.0917917833485,8090.296801457793,8126.595287192261,8169.516469825724,8196.225264212811,8412.751957206163,8023.700685269723,8190.716008157158,8396.477899906276,8021.865102002509,8248.546751455184,7997.76254504647,8437.127835253434,8201.601065461153,8040.065782793303,8184.252858851583,8284.523057847538,8252.505544326084,8299.67513092134,8218.880413839819
2024,8048.599163417971,8092.754075028701,8386.351973248802,8213.185016343465,8257.305672821343,8131.279645438924,8221.16963799766,7807.326221890378,7987.1626875352995,8032.04219617312,8068.079312762453,8110.691439175356,8137.207915491446,8352.175496706395,7965.925608802995,8131.738329122185,8336.018621607316,7964.103242749108,8189.152659128235,7940.174237515123,8376.3758549688,8142.545008001716,7982.172868585875,8125.321718061243,8224.869916244661,8193.082946504004,8239.91288602376,8159.699935528579
2025,7990.224474153658,8034.059140067908,8325.527638409934,8153.616622705663,8197.41728193188,8072.305293134098,8161.543333685157,7750.701431298317,7929.233583287251,7973.787590888447,8009.563338332644,8051.8664085249875,8078.190566770081,8291.599036206628,7908.150532336267,8072.760650087212,8275.559343308358,7906.341383495707,8129.758566801288,7882.585929983777,8315.623874684163,8083.488950542279,7924.279954378447,8066.390577270902,8165.216774641782,8133.660348681923,8180.150641126178,8100.51945721734
2026,7931.849784889342,7975.364205107113,8264.703303571066,8094.048229067859,8137.5288910424115,8013.330940829271,8101.917029372652,7694.076640706255,7871.304479039201,7915.532985603773,7951.047363902833,7993.041377874618,8019.173218048714,8231.022575706858,7850.375455869538,8013.782971052237,8215.100065009396,7848.579524242304,8070.364474474339,7824.997622452428,8254.871894399525,8024.432893082841,7866.387040171016,8007.459436480559,8105.563633038901,8074.237750859841,8120.388396228595,8041.3389789060975
2027,7873.475095625028,7916.669270146321,8203.878968732199,8034.479835430057,8077.640500152946,7954.356588524445,8042.290725060147,7637.451850114194,7813.375374791153,7857.2783803191005,7892.531389473025,7934.216347224249,7960.155869327349,8170.44611520709,7792.60037940281,7954.805292017264,8154.640786710436,7790.817664988903,8010.970382147391,7767.409314921081,8194.11991411489,7965.376835623403,7808.494125963588,7948.528295690218,8045.910491436022,8014.815153037761,8060.626151331015,7982.158500594857
2028,7815.100406360715,7857.974335185528,8143.054633893331,7974.911441792255,8017.752109263481,7895.38223621962,7982.664420747644,7580.827059522133,7755.446270543105,7799.023775034428,7834.015415043216,7875.391316573881,7901.138520605984,8109.869654707322,7734.825302936083,7895.827612982292,8094.181508411477,7733.055805735501,7951.576289820444,7709.821007389734,8133.367933830254,7906.320778163966,7750.6012117561595,7889.597154899878,7986.257349833143,7955.392555215681,8000.863906433433,7922.978022283618
2029,7756.725717096399,7799.279400224734,8082.230299054462,7915.343048154451,7957.863718374013,7836.407883914792,7923.038116435138,7524.202268930071,7697.517166295055,7740.769169749753,7775.499440613406,7816.566285923511,7842.121171884617,8049.293194207554,7677.050226469353,7836.8499339473165,8033.722230112516,7675.293946482098,7892.182197493495,7652.232699858387,8072.615953545616,7847.2647207045275,7692.70829754873,7830.666014109534,7926.604208230263,7895.969957393598,7941.10166153585,7863.797543972376
2030,7698.3510278320855,7740.584465263941,8021.405964215594,7855.774654516649,7897.975327484548,7777.433531609967,7863.411812122635,7467.57747833801,7639.588062047007,7682.51456446508,7716.983466183597,7757.741255273143,7783.103823163252,7988.716733707786,7619.275150002626,7777.872254912344,7973.262951813556,7617.5320872286975,7832.788105166547,7594.64439232704,8011.863973260981,7788.20866324509,7634.815383341302,7771.734873319194,7866.9510666273845,7836.5473595715175,7881.3394166382695,7804.617065661136
2031,7639.9763385677725,7681.889530303148,7960.581629376727,7796.2062608788465,7838.086936595082,7718.459179305141,7803.785507810131,7410.952687745949,7581.658957798959,7624.259959180407,7658.467491753789,7698.916224622774,7724.086474441887,7928.140273208019,7561.500073535898,7718.894575877371,7912.803673514597,7559.770227975296,7773.3940128396,7537.056084795693,7951.111992976345,7729.152605785654,7576.922469133873,7712.803732528853,7807.297925024505,7777.124761749437,7821.577171740688,7745.436587349896
